locator	band	domain	subdomain	task_L3	current_disposition	recommendation	merged_with	roadmap_wave	knowledge_pack	rationale	class	coverage_via	box_trigger	box_input	box_output	box_refuses	four_box_status
B/5/5.4/NCA oversight and dual-control QC	B	Study delivery	Analysis oversight	NCA oversight and dual-control QC	skill	OWN-SKILL (exists)	NONE	Now		Package present: verify-nca-outputs. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/5/5.4/Pharmacometrics deliverable review and sign-off	B	Study delivery	Analysis oversight	Pharmacometrics deliverable review and sign-off	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-model-analysis-deliverable. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/5/5.5/Topline interpretation and team readout	B	Study delivery	Reporting	Topline interpretation and team readout	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Topline interpretation and team readout and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Topline interpretation and team readout	Source-linked finding register with denominators	Decide the outcome of Topline interpretation and team readout; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/5/5.5/CSR PK sections and consistency QC	B	Study delivery	Reporting	CSR PK sections and consistency QC	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-csr-pk-consistency. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/6/6.1/In-vitro DDI package	B	Characterisation studies	Interaction	In-vitro DDI package	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-ddi-evidence. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/6/6.1/Clinical DDI studies	B	Characterisation studies	Interaction	Clinical DDI studies	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-ddi-evidence. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/6/6.1/DDI management strategy	B	Characterisation studies	Interaction	DDI management strategy	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-ddi-evidence. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/6/6.1/Food effect and gastric pH / acid-reducing agents	B	Characterisation studies	Interaction	Food effect and gastric pH / acid-reducing agents	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/food-effect.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/food-effect.md	skill	self	Please review the materials for Food effect and gastric pH / acid-reducing agents and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Food effect and gastric pH / acid-reducing agents	Source-linked finding register with denominators	Decide the outcome of Food effect and gastric pH / acid-reducing agents; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/6/6.2/Renal impairment	B	Characterisation studies	Organ impairment	Renal impairment	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/renal-impairment.md; shared/tools/renal_staging.py	Own skill for this L3; keep module/tool as knowledge: shared/modules/renal-impairment.md; shared/tools/renal_staging.py	skill	self	Please review the materials for Renal impairment and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Renal impairment	Source-linked finding register with denominators	Decide the outcome of Renal impairment; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/6/6.2/Hepatic impairment	B	Characterisation studies	Organ impairment	Hepatic impairment	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/hepatic-impairment.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/hepatic-impairment.md	skill	self	Please review the materials for Hepatic impairment and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Hepatic impairment	Source-linked finding register with denominators	Decide the outcome of Hepatic impairment; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/6/6.2/Dialysis and organ replacement	B	Characterisation studies	Organ impairment	Dialysis and organ replacement	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/renal-impairment.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/renal-impairment.md	skill	self	Please review the materials for Dialysis and organ replacement and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Dialysis and organ replacement	Source-linked finding register with denominators	Decide the outcome of Dialysis and organ replacement; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/6/6.3/Age, sex and body size	B	Characterisation studies	Population factors	Age, sex and body size	skill	OWN-SKILL (exists)	NONE	Now		Package present: prepare-dose-justification-evidence. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/6/6.3/Obesity	B	Characterisation studies	Population factors	Obesity	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Obesity and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Obesity	Source-linked finding register with denominators	Decide the outcome of Obesity; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/6/6.3/Pregnancy and lactation	B	Characterisation studies	Population factors	Pregnancy and lactation	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Pregnancy and lactation and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Pregnancy and lactation	Source-linked finding register with denominators	Decide the outcome of Pregnancy and lactation; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/6/6.3/Paediatric	B	Characterisation studies	Population factors	Paediatric	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/pediatric-pk-extrapolation.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/pediatric-pk-extrapolation.md	skill	self	Please review the materials for Paediatric and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Paediatric	Source-linked finding register with denominators	Decide the outcome of Paediatric; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/6/6.3/Pharmacogenomics	B	Characterisation studies	Population factors	Pharmacogenomics	skill	OWN-SKILL (exists)	NONE	Now		Package present: prepare-dose-justification-evidence. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/6/6.3/Ethnic sensitivity and ICH E5 bridging	B	Characterisation studies	Population factors	Ethnic sensitivity and ICH E5 bridging	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Ethnic sensitivity and ICH E5 bridging and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Ethnic sensitivity and ICH E5 bridging	Source-linked finding register with denominators	Decide the outcome of Ethnic sensitivity and ICH E5 bridging; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/6/6.4/Biopharmaceutics, BA/BE and formulation bridging	B	Characterisation studies	Product factors	Biopharmaceutics, BA/BE and formulation bridging	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/ba-be-formulation-bridging.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/ba-be-formulation-bridging.md	skill	self	Please review the materials for Biopharmaceutics, BA/BE and formulation bridging and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Biopharmaceutics, BA/BE and formulation bridging	Source-linked finding register with denominators	Decide the outcome of Biopharmaceutics, BA/BE and formulation bridging; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/6/6.4/Model-supported biowaiver justification	B	Characterisation studies	Product factors	Model-supported biowaiver justification	gap	OWN-SKILL (new; was oos)	NONE	Next		In product; build Next/Later	skill	self	Please review the materials for Model-supported biowaiver justification and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Model-supported biowaiver justification	Source-linked finding register with denominators	Decide the outcome of Model-supported biowaiver justification; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/6/6.5/QT and concentration-QTc	B	Characterisation studies	Cardiac and immune	QT and concentration-QTc	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/qt-assessment.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/qt-assessment.md	skill	self	Please review the materials for QT and concentration-QTc and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for QT and concentration-QTc	Source-linked finding register with denominators	Decide the outcome of QT and concentration-QTc; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/6/6.5/Immunogenicity impact on PK	B	Characterisation studies	Cardiac and immune	Immunogenicity impact on PK	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/immunogenicity-ada.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/immunogenicity-ada.md	skill	self	Please review the materials for Immunogenicity impact on PK and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Immunogenicity impact on PK	Source-linked finding register with denominators	Decide the outcome of Immunogenicity impact on PK; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/7/7.1/Dose-ranging design input	B	Dose and regimen decisions	Dose finding	Dose-ranging design input	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/oncology-dose-optimization.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/oncology-dose-optimization.md	skill	self	Please review the materials for Dose-ranging design input and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Dose-ranging design input	Source-linked finding register with denominators	Decide the outcome of Dose-ranging design input; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/7/7.1/Oncology dose optimisation	B	Dose and regimen decisions	Dose finding	Oncology dose optimisation	gap	OWN-SKILL (new; was oos)	NONE	Next	shared/modules/oncology-dose-optimization.md	In product; build Next/Later	skill	self	Please review the materials for Oncology dose optimisation and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Oncology dose optimisation	Source-linked finding register with denominators	Decide the outcome of Oncology dose optimisation; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/7/7.2/For efficacy	B	Dose and regimen decisions	Exposure-response interpretation	For efficacy	gap	OWN-SKILL (refuse-boundary)	NONE	Next	skills/prepare-dose-justification-evidence	Own skill; prepare only — refuse decide/sign/negotiate	skill	self	Please review the materials for For efficacy and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for For efficacy	Source-linked finding register with denominators	Decide the outcome of For efficacy; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/7/7.2/For safety	B	Dose and regimen decisions	Exposure-response interpretation	For safety	gap	OWN-SKILL (refuse-boundary)	NONE	Next	skills/prepare-dose-justification-evidence	Own skill; prepare only — refuse decide/sign/negotiate	skill	self	Please review the materials for For safety and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for For safety	Source-linked finding register with denominators	Decide the outcome of For safety; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/7/7.2/Clinical meaningfulness of covariate effects	B	Dose and regimen decisions	Exposure-response interpretation	Clinical meaningfulness of covariate effects	gap	OWN-SKILL (refuse-boundary)	NONE	Next	shared/modules/biologics-mab-pk.md	Own skill; prepare only — refuse decide/sign/negotiate	skill	self	Please review the materials for Clinical meaningfulness of covariate effects and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Clinical meaningfulness of covariate effects	Source-linked finding register with denominators	Decide the outcome of Clinical meaningfulness of covariate effects; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/7/7.3/Fixed versus weight-based dosing	B	Dose and regimen decisions	Regimen construction	Fixed versus weight-based dosing	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/biologics-mab-pk.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/biologics-mab-pk.md	skill	self	Please review the materials for Fixed versus weight-based dosing and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Fixed versus weight-based dosing	Source-linked finding register with denominators	Decide the outcome of Fixed versus weight-based dosing; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/7/7.3/Dose-modification scheme	B	Dose and regimen decisions	Regimen construction	Dose-modification scheme	skill	OWN-SKILL (exists)	NONE	Now		Package present: prepare-dose-justification-evidence. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/7/7.3/Paediatric dose selection	B	Dose and regimen decisions	Regimen construction	Paediatric dose selection	gap	OWN-SKILL (refuse-boundary)	NONE	Next	shared/modules/pediatric-pk-extrapolation.md	Own skill; prepare only — refuse decide/sign/negotiate	skill	self	Please review the materials for Paediatric dose selection and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Paediatric dose selection	Source-linked finding register with denominators	Decide the outcome of Paediatric dose selection; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/7/7.3/Therapeutic drug monitoring and precision dosing	B	Dose and regimen decisions	Regimen construction	Therapeutic drug monitoring and precision dosing	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Therapeutic drug monitoring and precision dosing and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Therapeutic drug monitoring and precision dosing	Source-linked finding register with denominators	Decide the outcome of Therapeutic drug monitoring and precision dosing; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/7/7.4/Registration dose justification	B	Dose and regimen decisions	Justification	Registration dose justification	skill	OWN-SKILL (exists)	NONE	Now		Package present: prepare-dose-justification-evidence. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/7/7.4/MIDD regulatory engagement package	B	Dose and regimen decisions	Justification	MIDD regulatory engagement package	skill	OWN-SKILL (exists)	NONE	Now		Package present: prepare-briefing-package-content. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/8/8.1/IND / CTA / IMPD clinical pharmacology content	B	Regulatory evidence package	Early submission	IND / CTA / IMPD clinical pharmacology content	skill	OWN-SKILL (exists)	NONE	Now		Package present: extract-embedded-ind-impd-cp-content. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/8/8.1/Investigator's Brochure PK section	B	Regulatory evidence package	Early submission	Investigator's Brochure PK section	skill	OWN-SKILL (exists)	NONE	Now		Package present: check-investigators-brochure-pk-section. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/8/8.2/DSUR and annual report contribution	B	Regulatory evidence package	Periodic reporting	DSUR and annual report contribution	skill	OWN-SKILL (exists)	NONE	Now		Package present: reconcile-dsur-annual-report-coverage. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/8/8.3/CTD 2.7.1 biopharmaceutics	B	Regulatory evidence package	Application summaries	CTD 2.7.1 biopharmaceutics	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Review this draft 2.7.1 biopharmaceutics summary against the BA/BE CSRs and flag missing studies.	Draft CTD 2.7.1	Source-linked finding register with denominators	Approve Module 2 text for filing; decide bioequivalence; rewrite biopharmaceutics claims for style	RECORDED
B/8/8.3/CTD 2.7.2 clinical pharmacology	B	Regulatory evidence package	Application summaries	CTD 2.7.2 clinical pharmacology	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-ctd-272-content. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/8/8.3/CTD 2.5 clinical overview	B	Regulatory evidence package	Application summaries	CTD 2.5 clinical overview	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Check the clinical pharmacology parts of this Module 2.5 overview against 2.7.2 and the CSRs.	Draft Module 2.5	Source-linked finding register with denominators	Author Module 2.5 prose; decide benefit–risk; approve overview for submission	RECORDED
B/8/8.3/CTD 2.7.3.4 and 2.7.4 exposure-safety	B	Regulatory evidence package	Application summaries	CTD 2.7.3.4 and 2.7.4 exposure-safety	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-ctd-272-content. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/8/8.3/CTD 2.7.6 study synopses	B	Regulatory evidence package	Application summaries	CTD 2.7.6 study synopses	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Reconcile these 2.7.6 PK study synopses to the CSR synopses and list any missing CP studies.	Draft 2.7.6 synopses for CP studies	Source-linked finding register with denominators	Write synopses; decide which studies to omit from the dossier	RECORDED
B/8/8.4/Module 5 placement	B	Regulatory evidence package	Submission mechanics	Module 5 placement	gap	OWN-SKILL (new; wraps tool)	NONE	Next	shared/tools/ctd_placement.py; skills/review-ctd-272-content	Own skill journey wrapping tool: shared/tools/ctd_placement.py; skills/review-ctd-272-content	skill	self	Review this Module 5 placement matrix for clinical pharmacology studies and flag orphans versus 2.7.2 citations.	Module 5 TOC / placement matrix	Source-linked finding register with denominators	Decide final eCTD leaf titles; submit the sequence	RECORDED
B/8/8.4/Submission datasets and define.xml	B	Regulatory evidence package	Submission mechanics	Submission datasets and define.xml	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Check whether these submission datasets and define.xml support the PK tables we cite in the CSR.	define.xml + dataset inventory	Source-linked finding register with denominators	Certify SDTM/ADaM compliance; approve datasets for FDA upload	RECORDED
B/8/8.4/Cross-document traceability	B	Regulatory evidence package	Submission mechanics	Cross-document traceability	skill	OWN-SKILL (exists)	NONE	Now	skills/reconcile-cross-document-facts; shared/tools/cross_document_consistency.py	Package present: reconcile-cross-document-facts; shared. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/8/8.5/Assessment Aid applicant's position	B	Regulatory evidence package	Review-phase authoring	Assessment Aid applicant's position	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Prepare a sourced Assessment Aid position pack for the clinical pharmacology rows — do not invent answers.	Assessment Aid template / draft rows	Source-linked finding register with denominators	Decide the sponsor's negotiation position; submit the Aid	RECORDED
B/9/9.1/Meeting strategy and type selection	B	Agency engagement	Meeting preparation	Meeting strategy and type selection	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Structure a meeting strategy for our clinical pharmacology questions with evidence packs and human decision gates.	Draft questions / topics	Source-linked finding register with denominators	Predict agency answers; decide which concessions to offer	RECORDED
B/9/9.1/Briefing package content	B	Agency engagement	Meeting preparation	Briefing package content	skill	OWN-SKILL (exists)	NONE	Now		Package present: prepare-briefing-package-content. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/9/9.1/Applicant's position authoring	B	Agency engagement	Meeting preparation	Applicant's position authoring	skill	OWN-SKILL (exists)	NONE	Now		Package present: prepare-briefing-package-content. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/9/9.2/Representation and position defence	B	Agency engagement	Meeting execution	Representation and position defence	gap	OWN-SKILL (refuse-boundary)	NONE	Next		Own skill; prepare only — refuse decide/sign/negotiate	skill	self	Build a defence brief that traces our exposure–response position to sources and lists residual uncertainties.	Contested CP issue statement	Source-linked finding register with denominators	Decide whether to defend or concede; speak for the company to the agency	RECORDED
B/9/9.2/Minutes and commitment capture	B	Agency engagement	Meeting execution	Minutes and commitment capture	skill	OWN-SKILL (exists)	NONE	Now		Package present: reconcile-cross-document-facts. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/9/9.3/Information-request and discipline-review response	B	Agency engagement	Review-cycle response	Information-request and discipline-review response	skill	OWN-SKILL (exists)	NONE	Now		Package present: map-agency-question-evidence. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/9/9.4/PMR/PMC wording, design and timetable	B	Agency engagement	Commitment negotiation	PMR/PMC wording, design and timetable	gap	OWN-SKILL (new; was oos)	NONE	Next		In product; build Next/Later	skill	self	Review this PMR wording and timetable against the study concept — flag what is unmeasurable.	Draft PMR/PMC text	Source-linked finding register with denominators	Negotiate PMR language with the agency; approve the commitment	RECORDED
B/10/10.1/Section 12 pharmacology	B	Product information	US prescribing information	Section 12 pharmacology	skill	OWN-SKILL (exists)	NONE	Now	skills/review-uspi-section-12-content; shared/tools/label_conformance.py	Package present: review-uspi-section-12-content; shared. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/10/10.1/Section 2 dosing basis	B	Product information	US prescribing information	Section 2 dosing basis	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-uspi-section-12-content. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/10/10.1/Section 7 interactions	B	Product information	US prescribing information	Section 7 interactions	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-uspi-section-12-content. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/10/10.1/Section 8 specific populations	B	Product information	US prescribing information	Section 8 specific populations	gap	OWN-SKILL (new; was oos)	NONE	Next	skills/review-uspi-section-12-content	In product; build Next/Later	skill	self	Review draft USPI Section 8 against the renal and hepatic CSRs and Section 12 numbers.	Draft USPI Section 8	Source-linked finding register with denominators	Decide labelled dose modifications; approve USPI text	RECORDED
B/10/10.2/EU SmPC 4.2 / 4.5 / 5.2	B	Product information	Other regions	EU SmPC 4.2 / 4.5 / 5.2	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-eu-smpc-cp-sections. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/10/10.2/Japan package insert sections 9, 10 and 16	B	Product information	Other regions	Japan package insert sections 9, 10 and 16	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Review Japan PI sections 9, 10 and 16 against the CCDS and flag inconsistencies — do not rewrite the Japanese text.	Draft JP PI sections 9/10/16	Source-linked finding register with denominators	Approve Japanese labelling; decide local deviations from the CCDS	RECORDED
B/10/10.2/Company core data sheet	B	Product information	Other regions	Company core data sheet	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Review the clinical pharmacology sections of this CCDS against the global evidence pack.	Draft or current CCDS	Source-linked finding register with denominators	Set company labelling policy; approve the CCDS	RECORDED
B/10/10.3/Labelling negotiation with the agency	B	Product information	Negotiation and maintenance	Labelling negotiation with the agency	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Prepare a labelling negotiation brief for the renal dose-modification wording with sources and open decisions for the labelling owner.	Contested label text list	Source-linked finding register with denominators	Negotiate with the agency; decide final labelled wording	RECORDED
B/10/10.3/Post-approval label updates	B	Product information	Negotiation and maintenance	Post-approval label updates	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-uspi-section-12-content. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/11/11.1/Post-approval change impact	B	Post-approval stewardship	Change assessment	Post-approval change impact	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Post-approval change impact and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Post-approval change impact	Source-linked finding register with denominators	Decide the outcome of Post-approval change impact; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/11/11.1/CMC change BA/BE assessment	B	Post-approval stewardship	Change assessment	CMC change BA/BE assessment	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for CMC change BA/BE assessment and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for CMC change BA/BE assessment	Source-linked finding register with denominators	Decide the outcome of CMC change BA/BE assessment; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/11/11.2/PMR/PMC execution and close-out	B	Post-approval stewardship	Commitments	PMR/PMC execution and close-out	gap	OWN-SKILL (new; was oos)	NONE	Next		In product; build Next/Later	skill	self	Please review the materials for PMR/PMC execution and close-out and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for PMR/PMC execution and close-out	Source-linked finding register with denominators	Decide the outcome of PMR/PMC execution and close-out; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/11/11.3/New indications and populations	B	Post-approval stewardship	Expansion	New indications and populations	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for New indications and populations and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for New indications and populations	Source-linked finding register with denominators	Decide the outcome of New indications and populations; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/11/11.3/Line extensions - routes, formulations, devices	B	Post-approval stewardship	Expansion	Line extensions - routes, formulations, devices	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Line extensions - routes, formulations, devices and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Line extensions - routes, formulations, devices	Source-linked finding register with denominators	Decide the outcome of Line extensions - routes, formulations, devices; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/11/11.4/Registry and real-world PK	B	Post-approval stewardship	Real-world evidence	Registry and real-world PK	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Registry and real-world PK and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Registry and real-world PK	Source-linked finding register with denominators	Decide the outcome of Registry and real-world PK; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/11/11.4/Drug utilisation and outcomes	B	Post-approval stewardship	Real-world evidence	Drug utilisation and outcomes	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Drug utilisation and outcomes and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Drug utilisation and outcomes	Source-linked finding register with denominators	Decide the outcome of Drug utilisation and outcomes; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/11/11.5/Living dose-rationale thread	B	Post-approval stewardship	Evidence maintenance	Living dose-rationale thread	gap	OWN-SKILL (new; was oos)	NONE	Next	skills/reconcile-cross-document-facts	In product; build Next/Later	skill	self	Please review the materials for Living dose-rationale thread and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Living dose-rationale thread	Source-linked finding register with denominators	Decide the outcome of Living dose-rationale thread; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/12/12.1/Quantitative input to benefit-risk	C	Safety and risk interface	Exposure-safety	Quantitative input to benefit-risk	skill	OWN-SKILL (exists)	NONE	Now		Package present: structure-benefit-risk-effects-table. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
C/12/12.1/DILI and organ-toxicity exposure margins	C	Safety and risk interface	Exposure-safety	DILI and organ-toxicity exposure margins	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-exposure-safety-margins. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
C/12/12.2/Signals with an exposure component	C	Safety and risk interface	Signal work	Signals with an exposure component	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Signals with an exposure component and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Signals with an exposure component	Source-linked finding register with denominators	Decide the outcome of Signals with an exposure component; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/12/12.2/Safety-committee exposure input	C	Safety and risk interface	Signal work	Safety-committee exposure input	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-study-conduct-pk. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
C/12/12.3/Reference safety information linkage	C	Safety and risk interface	Safety documentation	Reference safety information linkage	skill	OWN-SKILL (exists)	NONE	Now		Package present: reconcile-reference-safety-information. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
C/12/12.3/Overdose and antidote guidance	C	Safety and risk interface	Safety documentation	Overdose and antidote guidance	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Overdose and antidote guidance and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Overdose and antidote guidance	Source-linked finding register with denominators	Decide the outcome of Overdose and antidote guidance; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/13/13.1/Consent for PK and genetic sampling	C	Participant protection and ethics	Consent and privacy	Consent for PK and genetic sampling	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Consent for PK and genetic sampling and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Consent for PK and genetic sampling	Source-linked finding register with denominators	Decide the outcome of Consent for PK and genetic sampling; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
